SIDE,HORIZON_W,STRENGTH_DIRECTION,STRENGTH_CLASS,N,TICKERS,MFE_PCT_MEAN,MFE_PCT_MEDIAN,MAE_PCT_MEAN,MAE_PCT_MEDIAN,SPEED_PCT_PER_WEEK_MEAN,SPEED_PCT_PER_WEEK_MEDIAN,FINAL_DIRECTIONAL_RETURN_PCT_MEAN,FINAL_DIRECTIONAL_RETURN_PCT_MEDIAN,FAVORABLE_WEEKS_MEAN,FAVORABLE_WEEKS_MEDIAN,ADVERSE_WEEKS_MEAN,ADVERSE_WEEKS_MEDIAN,PATH_EFFICIENCY_MEAN,PATH_EFFICIENCY_MEDIAN,HAS_FAVORABLE_MOVE_MEAN,HAS_FAVORABLE_MOVE_MEDIAN
BUY,5,BEAR,LOW,2644,198,6.982040651309571,4.486932010329282,4.899781083856717,2.9323382630878134,2.1828375643767783,1.5448088937249953,2.098793066912498,1.290391977555183,2.691376701966717,3.0,2.3033282904689862,2.0,0.4600847687461272,0.42305222976296675,0.7934947049924357,1.0
BUY,5,BEAR,MEDIUM,3837,198,6.728150409567154,4.27007959288499,4.884675041099943,2.839807588642796,2.1120610730896736,1.503431760031826,1.728836275115362,0.9526996632317486,2.6750065155069063,3.0,2.318217357310399,2.0,0.47386973521772713,0.4417412806227543,0.7881157154026583,1.0
BUY,5,BEAR,HIGH,6652,198,6.850659467210733,4.685368102450571,4.723280507435837,2.793807126170778,2.114088973842216,1.5615547598649249,2.105510959810467,1.475858428746657,2.714822609741431,3.0,2.2671377029464823,2.0,0.4612050212272837,0.4263362530449689,0.8057726999398677,1.0
BUY,5,BEAR,VERY_HIGH,5691,197,8.02254511978741,5.766055192894481,5.095329131143022,2.828906897115424,2.494815522974855,1.8580597119367104,2.767130790914597,2.2380248150797533,2.7362502196450538,3.0,2.256545422597083,2.0,0.45952383699463956,0.4308393053553876,0.8149710068529257,1.0
BUY,5,BULL,LOW,3230,198,6.180469805591223,4.191843508382831,5.022117833025103,2.8978694287806195,1.9304362408905122,1.3968482288900241,1.2645715937868565,1.1460594779898692,2.6575851393188854,3.0,2.33374613003096,2.0,0.46169006326399836,0.43442924572616193,0.7869969040247679,1.0
BUY,5,BULL,MEDIUM,4188,197,5.924842980084704,4.1163780744717275,4.614284276137121,2.7862355516006296,1.879191256121855,1.3715533332657903,1.2800725419241692,1.2573723832773775,2.6728748806112703,3.0,2.3144699140401146,2.0,0.46681832420240205,0.44357568203310394,0.7996657115568291,1.0
BUY,5,BULL,HIGH,9075,198,5.804831311337195,3.9201573042185967,4.556014015485028,2.764074877148981,1.840701182656713,1.3298500102003086,1.223687599229075,0.8695270087441864,2.657410468319559,3.0,2.334876033057851,2.0,0.47079045793077307,0.4421926673446746,0.7875482093663911,1.0
BUY,5,BULL,VERY_HIGH,6073,196,5.770605669532427,3.4727580926160684,5.1449817099866975,3.3582583526598158,1.8660644445985073,1.2425549812821712,0.6413770793099911,0.119224668831297,2.562654371809649,3.0,2.429935781327186,2.0,0.4503946081226192,0.4162674011327313,0.7702947472418903,1.0
BUY,8,BEAR,LOW,2644,198,9.755737954323221,6.464304409335886,6.4668843402612275,4.4649836668922855,2.065891992451066,1.4700185685937983,3.1719069414134564,1.8753709626503803,4.293494704992436,4.0,3.6959152798789714,4.0,0.3624725449260186,0.3261611766961027,0.8502269288956127,1.0
BUY,8,BEAR,MEDIUM,3837,198,9.323224996048317,6.097562482568364,6.455440100639364,4.192931338709737,2.0144308213385846,1.44046033935481,2.6130793717344076,1.70068213200798,4.273911910346625,4.0,3.7125358352879854,4.0,0.3756992860758302,0.3401361013132884,0.8438884545217618,1.0
