SIDE,HORIZON_W,PHASE,N,TICKERS,MFE_PCT_MEAN,MFE_PCT_MEDIAN,MAE_PCT_MEAN,MAE_PCT_MEDIAN,SPEED_PCT_PER_WEEK_MEAN,SPEED_PCT_PER_WEEK_MEDIAN,FINAL_DIRECTIONAL_RETURN_PCT_MEAN,FINAL_DIRECTIONAL_RETURN_PCT_MEDIAN,FAVORABLE_WEEKS_MEAN,FAVORABLE_WEEKS_MEDIAN,ADVERSE_WEEKS_MEAN,ADVERSE_WEEKS_MEDIAN,PATH_EFFICIENCY_MEAN,PATH_EFFICIENCY_MEDIAN,HAS_FAVORABLE_MOVE_MEAN,HAS_FAVORABLE_MOVE_MEDIAN
BUY,5,BUY,5364,198,6.023512591731961,4.020270115489755,5.0004189068003075,2.9727520618900938,1.938337314020945,1.3398106972100114,0.8191635349713627,0.7369827595604117,2.620059656972409,3.0,2.3702460850111855,2.0,0.47322069753160956,0.453289304277638,0.7857941834451901,1.0
BUY,5,DEBOLEZZA_RIALZISTA,9473,197,5.986382578267079,3.9885762225390975,4.622553364238387,2.832511826709605,1.8795699172606635,1.3728625643693038,1.4204920439087148,0.982315743507467,2.656497413702101,3.0,2.333790773778106,2.0,0.46302932801693303,0.4349635482594806,0.7900348358492558,1.0
BUY,5,DEBOLEZZA_RIBASSISTA,7855,198,6.9913934595212,4.655740039596146,5.146610736690677,3.1473501795056924,2.22662800203573,1.5808817052047175,1.8246085210264347,1.2946824520682298,2.6711648631444938,3.0,2.316231699554424,2.0,0.4627885290223592,0.4377545180295839,0.7896880967536601,1.0
BUY,5,SELL,5280,198,7.076973166783043,4.908412248031091,4.6678568759496715,2.5992003806148354,2.1592739610399287,1.6369206037503337,2.33728327692322,1.5310466888813545,2.7420454545454547,3.0,2.2498106060606062,2.0,0.45507629831026414,0.40907533479284075,0.8128787878787879,1.0
BUY,5,TREND_RIALZISTA,7729,198,5.625665486885184,3.63310743498324,4.855177801643434,3.0940924067018094,1.8035874582420068,1.2424665068971883,0.8533113838309938,0.5408707112328548,2.6184499935308576,3.0,2.374822098589727,2.0,0.4566349153951153,0.4228870639901769,0.7784965713546383,1.0
BUY,5,TREND_RIBASSISTA,5689,198,7.597030358765006,4.9748348865954695,4.753276093776803,2.664027597808316,2.328209945970138,1.643972545937333,2.6829316676869808,1.87249463850514,2.7335208296712956,3.0,2.256108279135173,2.0,0.47104614336205625,0.4356846560600912,0.8129724028827562,1.0
BUY,8,BUY,5364,198,8.427816200877395,5.853235197846307,6.6278050355274125,4.33093160365437,1.834966953643107,1.3084540966108593,1.6423224741628637,1.308514756323309,4.219052945563012,4.0,3.767151379567487,4.0,0.36918273565529,0.33809880207213955,0.8299776286353467,1.0
BUY,8,DEBOLEZZA_RIALZISTA,9473,197,8.555733958102604,5.89373397227988,6.027201456114391,4.0387721759126975,1.7954839082105278,1.3476765418319214,2.6386861887298902,1.6799233856364504,4.278792357225799,4.0,3.705162039480629,4.0,0.36494100560153625,0.3281451465269422,0.8445054365037475,1.0
BUY,8,DEBOLEZZA_RIBASSISTA,7855,198,9.5220652689113,6.718964495270607,6.762230874095936,4.582484867460634,2.0807098075721053,1.5131921066316334,2.5319623686116013,1.693907583390275,4.250795671546785,4.0,3.731253978357734,4.0,0.3609157173411911,0.3245227474852034,0.841502227880331,1.0
BUY,8,SELL,5280,198,10.053113007073636,7.17962265967177,5.956739973073287,3.791208592396478,2.0621720840923894,1.5587259154184423,4.105156745510295,2.989521259013761,4.401325757575758,4.0,3.584848484848485,4.0,0.3636672635071161,0.32390965900635016,0.8691287878787879,1.0
BUY,8,TREND_RIALZISTA,7729,198,8.053949093181759,5.549954172688465,6.373404314277877,4.449146059178288,1.7240055638236422,1.2512563910800356,1.7694172643233592,1.0933783344712955,4.2243498512097295,4.0,3.7656876698149824,4.0,0.3575505884876818,0.3235627298215437,0.8395652736447147,1.0
BUY,8,TREND_RIBASSISTA,5689,198,10.539802106103869,7.304077448409796,6.2650255249096345,3.9362128219847192,2.2152418366301068,1.6159976203987902,4.0711463105791585,2.7975445144746924,4.370363860080857,4.0,3.6088943575320793,4.0,0.3771657479740925,0.3393828496420358,0.8614870803304623,1.0
