SIDE,HORIZON_W,STRENGTH_DIRECTION,REVERSAL_DECILE,N,TICKERS,REVERSAL_1W_MEAN,REVERSAL_2W_MEAN,REVERSAL_3W_MEAN,MFE_PCT_MEAN,MFE_PCT_MEDIAN,MAE_PCT_MEAN,MAE_PCT_MEDIAN,SPEED_PCT_PER_WEEK_MEAN,SPEED_PCT_PER_WEEK_MEDIAN,FINAL_DIRECTIONAL_RETURN_PCT_MEAN,FINAL_DIRECTIONAL_RETURN_PCT_MEDIAN,FAVORABLE_WEEKS_MEAN,FAVORABLE_WEEKS_MEDIAN,ADVERSE_WEEKS_MEAN,ADVERSE_WEEKS_MEDIAN,PATH_EFFICIENCY_MEAN,PATH_EFFICIENCY_MEDIAN,HAS_FAVORABLE_MOVE_MEAN,HAS_FAVORABLE_MOVE_MEDIAN
BUY,5,BEAR,1,1883,195,0.015932514678463853,0.009113937831155883,0.06183740908725809,8.434580126944558,6.212487433013791,4.723024947789794,2.2386412016338286,2.5182187655237374,1.9752371880752493,3.3020214334065034,2.7039058984208,2.8093467870419544,3.0,2.1768454593733404,2.0,0.45194200593882355,0.4113929016894519,0.8364312267657993,1.0
BUY,5,BEAR,2,1882,198,0.01763788143841293,0.024651945442984942,0.08694483749338065,7.656580891427207,5.127567827964485,5.027468803832163,2.9597497453602184,2.383654833347316,1.6923026141042408,2.607748585909774,1.4971365155560967,2.7236981934112645,3.0,2.2662061636556854,2.0,0.4485860525866595,0.3982070329765992,0.8193411264612115,1.0
BUY,5,BEAR,3,1882,198,0.019251717097222745,0.03940007174820958,0.11260449712784115,7.520513590707798,5.321569988843333,4.8194783350697294,2.775181841148833,2.2894321257859693,1.7029622120025012,2.7740713797874332,2.0495876130873665,2.7008501594048884,3.0,2.2869287991498406,2.0,0.46536267796878034,0.43679526442739525,0.8092454835281615,1.0
BUY,5,BEAR,4,1883,198,0.022042450659044647,0.06352553059811925,0.14445639808441926,7.421930079833526,4.839308740325365,4.796019583182911,2.7216008697225624,2.2646156063482423,1.6336629269415592,2.654803238584051,1.7029357651156871,2.7137546468401488,3.0,2.274030801911843,2.0,0.46136687125603837,0.4178127482518059,0.8109399893786511,1.0
BUY,5,BEAR,5,1882,198,0.026209744235444494,0.09875731070232331,0.1861754395184761,7.451383562944892,4.851696658807003,5.052685964498869,3.0685478131421915,2.316788509599854,1.6841079844984628,2.152090784270483,1.2331695817980326,2.6811902231668436,3.0,2.310308182784272,2.0,0.47692093462117413,0.43849776165965326,0.7927736450584485,1.0
BUY,5,BEAR,6,1882,198,0.03417207879790859,0.14572226508160668,0.24603022490109502,7.29718007159694,5.187356107807073,4.940006257715023,2.8370306624870945,2.2386891652695065,1.6465765461791904,2.2677401270216864,1.8791363366473801,2.7433581296493093,3.0,2.24548352816153,2.0,0.4785520946489728,0.45396135789476333,0.8055260361317748,1.0
BUY,5,BEAR,7,1883,198,0.05119533627866906,0.21416310207538494,0.3337562092086935,6.809547425924688,4.42976069402603,4.966798883212536,3.0174107355319117,2.2036351065616193,1.491173694295278,1.6572842582122564,0.9572917410704872,2.6441848114710567,3.0,2.3441317047265002,2.0,0.4547489185065076,0.4110038714902249,0.7838555496548062,1.0
BUY,5,BEAR,8,1882,197,0.09351198126432936,0.3144377653519413,0.4513069484469282,6.7802813381099325,4.494193095047471,5.049994357288148,3.1411749556188138,2.1414446718996216,1.5295607831123714,1.811455593697969,1.023054368106291,2.6758767268862913,3.0,2.312964930924548,2.0,0.4582451670480296,0.42960957912133235,0.7842720510095643,1.0
BUY,5,BEAR,9,1882,197,0.2184356282586078,0.47998272980108164,0.5959283901599894,6.5092902225302165,4.396006922116291,4.9892266751805385,2.9993272743509825,2.04369393025647,1.4686605102778767,1.5635800403555575,1.1770167793150432,2.7130712008501594,3.0,2.2784272051009564,2.0,0.464957895579631,0.43886038418379614,0.7954303931987248,1.0
BUY,5,BEAR,10,1883,197,0.6000790999852732,0.7110699613069125,0.7650817230146175,6.103064727072613,4.146171268921695,4.570069532437064,2.770023466659488,1.984176492068183,1.4614817146351156,1.487234605912822,1.1436165676310228,2.6935740839086564,3.0,2.2989909718534256,2.0,0.4705339962681221,0.444140989814144,0.7944768985661179,1.0
