SIDE,HORIZON_W,PHASE_DIRECTION,PREDICTOR,TARGET_METRIC,N,SPEARMAN
BUY,5,BULL,REVERSAL_3W,MFE_PCT,22566,-0.0076631390641319925
BUY,5,BULL,REVERSAL_3W,MAE_PCT,22566,0.0024700714927849096
BUY,5,BULL,REVERSAL_3W,SPEED_PCT_PER_WEEK,22566,-0.005141026095375824
BUY,5,BULL,REVERSAL_3W,FINAL_DIRECTIONAL_RETURN_PCT,22566,0.001271066133502508
BUY,5,BULL,REVERSAL_3W,FAVORABLE_WEEKS,22566,0.00418140169534903
BUY,5,BULL,REVERSAL_3W,ADVERSE_WEEKS,22566,-0.0039980382143061785
BUY,5,BULL,REVERSAL_3W,PATH_EFFICIENCY,22566,-0.024643204990173015
BUY,5,BULL,REVERSAL_3W,HAS_FAVORABLE_MOVE,22566,3.6450406592039664e-05
BUY,8,BEAR,STRENGTH_EXPECTED,MFE_PCT,18824,0.07634522096501749
BUY,8,BEAR,STRENGTH_EXPECTED,MAE_PCT,18824,-0.0166089075846649
BUY,8,BEAR,STRENGTH_EXPECTED,SPEED_PCT_PER_WEEK,18824,0.06781975750018227
BUY,8,BEAR,STRENGTH_EXPECTED,FINAL_DIRECTIONAL_RETURN_PCT,18824,0.05860898363068077
BUY,8,BEAR,STRENGTH_EXPECTED,FAVORABLE_WEEKS,18824,0.025464730553931426
BUY,8,BEAR,STRENGTH_EXPECTED,ADVERSE_WEEKS,18824,-0.026978835126380912
BUY,8,BEAR,STRENGTH_EXPECTED,PATH_EFFICIENCY,18824,-0.004161424596444183
BUY,8,BEAR,STRENGTH_EXPECTED,HAS_FAVORABLE_MOVE,18824,0.02719579931981415
BUY,8,BEAR,REVERSAL_1W,MFE_PCT,18824,-0.07017131737521362
BUY,8,BEAR,REVERSAL_1W,MAE_PCT,18824,0.038427793754864534
BUY,8,BEAR,REVERSAL_1W,SPEED_PCT_PER_WEEK,18824,-0.057923383827567565
BUY,8,BEAR,REVERSAL_1W,FINAL_DIRECTIONAL_RETURN_PCT,18824,-0.06612582181741813
BUY,8,BEAR,REVERSAL_1W,FAVORABLE_WEEKS,18824,-0.046110581882009255
BUY,8,BEAR,REVERSAL_1W,ADVERSE_WEEKS,18824,0.04690981570278993
BUY,8,BEAR,REVERSAL_1W,PATH_EFFICIENCY,18824,0.008102751963542886
BUY,8,BEAR,REVERSAL_1W,HAS_FAVORABLE_MOVE,18824,-0.04444095187587762
BUY,8,BEAR,REVERSAL_2W,MFE_PCT,18824,-0.07999443769338938
BUY,8,BEAR,REVERSAL_2W,MAE_PCT,18824,0.025406613155352902
BUY,8,BEAR,REVERSAL_2W,SPEED_PCT_PER_WEEK,18824,-0.06836445542501972
BUY,8,BEAR,REVERSAL_2W,FINAL_DIRECTIONAL_RETURN_PCT,18824,-0.069842810046415
BUY,8,BEAR,REVERSAL_2W,FAVORABLE_WEEKS,18824,-0.03987904126478657
BUY,8,BEAR,REVERSAL_2W,ADVERSE_WEEKS,18824,0.041231378414382056
BUY,8,BEAR,REVERSAL_2W,PATH_EFFICIENCY,18824,0.000802820958372006
BUY,8,BEAR,REVERSAL_2W,HAS_FAVORABLE_MOVE,18824,-0.03945571601342508
BUY,8,BEAR,REVERSAL_3W,MFE_PCT,18824,-0.08312798295466665
BUY,8,BEAR,REVERSAL_3W,MAE_PCT,18824,0.015345967888325814
BUY,8,BEAR,REVERSAL_3W,SPEED_PCT_PER_WEEK,18824,-0.07222321222024576
BUY,8,BEAR,REVERSAL_3W,FINAL_DIRECTIONAL_RETURN_PCT,18824,-0.06948787958475508
BUY,8,BEAR,REVERSAL_3W,FAVORABLE_WEEKS,18824,-0.03275410251040299
BUY,8,BEAR,REVERSAL_3W,ADVERSE_WEEKS,18824,0.03418822310154467
BUY,8,BEAR,REVERSAL_3W,PATH_EFFICIENCY,18824,0.0005137117904976914
BUY,8,BEAR,REVERSAL_3W,HAS_FAVORABLE_MOVE,18824,-0.03423181442344589
BUY,8,BULL,STRENGTH_EXPECTED,MFE_PCT,22566,-0.03810905444095099
BUY,8,BULL,STRENGTH_EXPECTED,MAE_PCT,22566,0.033342917444448096
BUY,8,BULL,STRENGTH_EXPECTED,SPEED_PCT_PER_WEEK,22566,-0.031585701978222296
BUY,8,BULL,STRENGTH_EXPECTED,FINAL_DIRECTIONAL_RETURN_PCT,22566,-0.03310473743208565
BUY,8,BULL,STRENGTH_EXPECTED,FAVORABLE_WEEKS,22566,-0.026487325946808367
BUY,8,BULL,STRENGTH_EXPECTED,ADVERSE_WEEKS,22566,0.02710256217678262
BUY,8,BULL,STRENGTH_EXPECTED,PATH_EFFICIENCY,22566,-0.021121160219693562
BUY,8,BULL,STRENGTH_EXPECTED,HAS_FAVORABLE_MOVE,22566,-0.006557150287859538
BUY,8,BULL,REVERSAL_1W,MFE_PCT,22566,-0.004338537593570573
BUY,8,BULL,REVERSAL_1W,MAE_PCT,22566,0.015211756414502077
BUY,8,BULL,REVERSAL_1W,SPEED_PCT_PER_WEEK,22566,0.004261608325879323
BUY,8,BULL,REVERSAL_1W,FINAL_DIRECTIONAL_RETURN_PCT,22566,-0.004006060085389207
BUY,8,BULL,REVERSAL_1W,FAVORABLE_WEEKS,22566,-0.00699178413277316
BUY,8,BULL,REVERSAL_1W,ADVERSE_WEEKS,22566,0.008137927276292456
BUY,8,BULL,REVERSAL_1W,PATH_EFFICIENCY,22566,-0.01354746614673175
BUY,8,BULL,REVERSAL_1W,HAS_FAVORABLE_MOVE,22566,-0.005518062377039808
BUY,8,BULL,REVERSAL_2W,MFE_PCT,22566,-0.007601682681018022
BUY,8,BULL,REVERSAL_2W,MAE_PCT,22566,0.0008826604444901806
BUY,8,BULL,REVERSAL_2W,SPEED_PCT_PER_WEEK,22566,0.002077401456672615
BUY,8,BULL,REVERSAL_2W,FINAL_DIRECTIONAL_RETURN_PCT,22566,-0.0011484384067564067
BUY,8,BULL,REVERSAL_2W,FAVORABLE_WEEKS,22566,-0.0032248408116346125
BUY,8,BULL,REVERSAL_2W,ADVERSE_WEEKS,22566,0.003974922035287948
BUY,8,BULL,REVERSAL_2W,PATH_EFFICIENCY,22566,-0.022435812445955588
BUY,8,BULL,REVERSAL_2W,HAS_FAVORABLE_MOVE,22566,0.0053375033536747175
BUY,8,BULL,REVERSAL_3W,MFE_PCT,22566,-0.010352362171132124
BUY,8,BULL,REVERSAL_3W,MAE_PCT,22566,-0.0043667536281007825
BUY,8,BULL,REVERSAL_3W,SPEED_PCT_PER_WEEK,22566,-0.0008912861854201559
BUY,8,BULL,REVERSAL_3W,FINAL_DIRECTIONAL_RETURN_PCT,22566,-0.0016045660445270086
BUY,8,BULL,REVERSAL_3W,FAVORABLE_WEEKS,22566,-0.0022666179865142417
BUY,8,BULL,REVERSAL_3W,ADVERSE_WEEKS,22566,0.0029034676949002266
BUY,8,BULL,REVERSAL_3W,PATH_EFFICIENCY,22566,-0.028328434159255733
BUY,8,BULL,REVERSAL_3W,HAS_FAVORABLE_MOVE,22566,0.009283012836139243
SELL,5,BEAR,STRENGTH_EXPECTED,MFE_PCT,18824,-0.014427810150161877
SELL,5,BEAR,STRENGTH_EXPECTED,MAE_PCT,18824,0.07005375006167462
SELL,5,BEAR,STRENGTH_EXPECTED,SPEED_PCT_PER_WEEK,18824,-0.005583873568696717
SELL,5,BEAR,STRENGTH_EXPECTED,FINAL_DIRECTIONAL_RETURN_PCT,18824,-0.04591703534202144
SELL,5,BEAR,STRENGTH_EXPECTED,FAVORABLE_WEEKS,18824,-0.02382082890017661
SELL,5,BEAR,STRENGTH_EXPECTED,ADVERSE_WEEKS,18824,0.02211866971971851
SELL,5,BEAR,STRENGTH_EXPECTED,PATH_EFFICIENCY,18824,-0.006282486284406727
SELL,5,BEAR,STRENGTH_EXPECTED,HAS_FAVORABLE_MOVE,18824,-0.024666104528234232
SELL,5,BEAR,REVERSAL_1W,MFE_PCT,18824,0.03986830784421906
SELL,5,BEAR,REVERSAL_1W,MAE_PCT,18824,-0.06600589068562572
SELL,5,BEAR,REVERSAL_1W,SPEED_PCT_PER_WEEK,18824,0.03220635348020844
SELL,5,BEAR,REVERSAL_1W,FINAL_DIRECTIONAL_RETURN_PCT,18824,0.051105884954699636
SELL,5,BEAR,REVERSAL_1W,FAVORABLE_WEEKS,18824,0.03170519380901187
SELL,5,BEAR,REVERSAL_1W,ADVERSE_WEEKS,18824,-0.030924380608354163
SELL,5,BEAR,REVERSAL_1W,PATH_EFFICIENCY,18824,0.014927372016411462
SELL,5,BEAR,REVERSAL_1W,HAS_FAVORABLE_MOVE,18824,0.03098117785976598
SELL,5,BEAR,REVERSAL_2W,MFE_PCT,18824,0.02667133404100959
SELL,5,BEAR,REVERSAL_2W,MAE_PCT,18824,-0.07282659060190826
SELL,5,BEAR,REVERSAL_2W,SPEED_PCT_PER_WEEK,18824,0.01866400927039284
SELL,5,BEAR,REVERSAL_2W,FINAL_DIRECTIONAL_RETURN_PCT,18824,0.052104816172923084
SELL,5,BEAR,REVERSAL_2W,FAVORABLE_WEEKS,18824,0.028052342083085057
SELL,5,BEAR,REVERSAL_2W,ADVERSE_WEEKS,18824,-0.026816224687562833
SELL,5,BEAR,REVERSAL_2W,PATH_EFFICIENCY,18824,0.015037250732337856
SELL,5,BEAR,REVERSAL_2W,HAS_FAVORABLE_MOVE,18824,0.025560688372670715
SELL,5,BEAR,REVERSAL_3W,MFE_PCT,18824,0.016086238256032837
SELL,5,BEAR,REVERSAL_3W,MAE_PCT,18824,-0.07330580980730367
SELL,5,BEAR,REVERSAL_3W,SPEED_PCT_PER_WEEK,18824,0.0073674436853936555
SELL,5,BEAR,REVERSAL_3W,FINAL_DIRECTIONAL_RETURN_PCT,18824,0.049441999839930244
SELL,5,BEAR,REVERSAL_3W,FAVORABLE_WEEKS,18824,0.020971837552780488
SELL,5,BEAR,REVERSAL_3W,ADVERSE_WEEKS,18824,-0.019734975134791815
SELL,5,BEAR,REVERSAL_3W,PATH_EFFICIENCY,18824,0.015930288996164162
SELL,5,BEAR,REVERSAL_3W,HAS_FAVORABLE_MOVE,18824,0.020517259674855973
SELL,5,BULL,STRENGTH_EXPECTED,MFE_PCT,22566,0.02018481993300225
SELL,5,BULL,STRENGTH_EXPECTED,MAE_PCT,22566,-0.035754813290168996
SELL,5,BULL,STRENGTH_EXPECTED,SPEED_PCT_PER_WEEK,22566,0.013482539369407716
SELL,5,BULL,STRENGTH_EXPECTED,FINAL_DIRECTIONAL_RETURN_PCT,22566,0.030290223978369772
SELL,5,BULL,STRENGTH_EXPECTED,FAVORABLE_WEEKS,22566,0.029066117857266947
SELL,5,BULL,STRENGTH_EXPECTED,ADVERSE_WEEKS,22566,-0.02859103246780202
SELL,5,BULL,STRENGTH_EXPECTED,PATH_EFFICIENCY,22566,-0.017112158582254327
SELL,5,BULL,STRENGTH_EXPECTED,HAS_FAVORABLE_MOVE,22566,0.024658890242591786
SELL,5,BULL,REVERSAL_1W,MFE_PCT,22566,0.024838525379306697
SELL,5,BULL,REVERSAL_1W,MAE_PCT,22566,-0.005597811544532635
SELL,5,BULL,REVERSAL_1W,SPEED_PCT_PER_WEEK,22566,0.029525532484005693
SELL,5,BULL,REVERSAL_1W,FINAL_DIRECTIONAL_RETURN_PCT,22566,0.00605196745138872
SELL,5,BULL,REVERSAL_1W,FAVORABLE_WEEKS,22566,0.0029520708775606186
SELL,5,BULL,REVERSAL_1W,ADVERSE_WEEKS,22566,-0.00231500673169388
SELL,5,BULL,REVERSAL_1W,PATH_EFFICIENCY,22566,-0.01609144117911633
SELL,5,BULL,REVERSAL_1W,HAS_FAVORABLE_MOVE,22566,0.01884377923131332
SELL,5,BULL,REVERSAL_2W,MFE_PCT,22566,0.009638554828174812
SELL,5,BULL,REVERSAL_2W,MAE_PCT,22566,-0.006201985278940901
SELL,5,BULL,REVERSAL_2W,SPEED_PCT_PER_WEEK,22566,0.013883317310124372
SELL,5,BULL,REVERSAL_2W,FINAL_DIRECTIONAL_RETURN_PCT,22566,0.000569675525090639
SELL,5,BULL,REVERSAL_2W,FAVORABLE_WEEKS,22566,-0.00148517132483111
SELL,5,BULL,REVERSAL_2W,ADVERSE_WEEKS,22566,0.0016506731907335978
SELL,5,BULL,REVERSAL_2W,PATH_EFFICIENCY,22566,-0.021919871819235676
SELL,5,BULL,REVERSAL_2W,HAS_FAVORABLE_MOVE,22566,0.01257164504562057
SELL,5,BULL,REVERSAL_3W,MFE_PCT,22566,0.0024700714927849096
SELL,5,BULL,REVERSAL_3W,MAE_PCT,22566,-0.0076631390641319925
SELL,5,BULL,REVERSAL_3W,SPEED_PCT_PER_WEEK,22566,0.007235304815440201
SELL,5,BULL,REVERSAL_3W,FINAL_DIRECTIONAL_RETURN_PCT,22566,-0.001271066133502508
SELL,5,BULL,REVERSAL_3W,FAVORABLE_WEEKS,22566,-0.0039980382143061785
SELL,5,BULL,REVERSAL_3W,ADVERSE_WEEKS,22566,0.00418140169534903
SELL,5,BULL,REVERSAL_3W,PATH_EFFICIENCY,22566,-0.024643204990173015
SELL,5,BULL,REVERSAL_3W,HAS_FAVORABLE_MOVE,22566,0.010994316060411308
SELL,8,BEAR,STRENGTH_EXPECTED,MFE_PCT,18824,-0.0166089075846649
SELL,8,BEAR,STRENGTH_EXPECTED,MAE_PCT,18824,0.07634522096501749
SELL,8,BEAR,STRENGTH_EXPECTED,SPEED_PCT_PER_WEEK,18824,-0.005959220181461831
SELL,8,BEAR,STRENGTH_EXPECTED,FINAL_DIRECTIONAL_RETURN_PCT,18824,-0.05860898363068077
SELL,8,BEAR,STRENGTH_EXPECTED,FAVORABLE_WEEKS,18824,-0.026978835126380912
SELL,8,BEAR,STRENGTH_EXPECTED,ADVERSE_WEEKS,18824,0.025464730553931426
SELL,8,BEAR,STRENGTH_EXPECTED,PATH_EFFICIENCY,18824,-0.004161424596444183
SELL,8,BEAR,STRENGTH_EXPECTED,HAS_FAVORABLE_MOVE,18824,-0.019012329556666912
SELL,8,BEAR,REVERSAL_1W,MFE_PCT,18824,0.038427793754864534
SELL,8,BEAR,REVERSAL_1W,MAE_PCT,18824,-0.07017131737521362
SELL,8,BEAR,REVERSAL_1W,SPEED_PCT_PER_WEEK,18824,0.029832367778555892
SELL,8,BEAR,REVERSAL_1W,FINAL_DIRECTIONAL_RETURN_PCT,18824,0.06612582181741813
SELL,8,BEAR,REVERSAL_1W,FAVORABLE_WEEKS,18824,0.04690981570278993
SELL,8,BEAR,REVERSAL_1W,ADVERSE_WEEKS,18824,-0.046110581882009255
SELL,8,BEAR,REVERSAL_1W,PATH_EFFICIENCY,18824,0.008102751963542886
SELL,8,BEAR,REVERSAL_1W,HAS_FAVORABLE_MOVE,18824,0.02896416341816516
SELL,8,BEAR,REVERSAL_2W,MFE_PCT,18824,0.025406613155352902
SELL,8,BEAR,REVERSAL_2W,MAE_PCT,18824,-0.07999443769338938
SELL,8,BEAR,REVERSAL_2W,SPEED_PCT_PER_WEEK,18824,0.01747248789134054
SELL,8,BEAR,REVERSAL_2W,FINAL_DIRECTIONAL_RETURN_PCT,18824,0.069842810046415
SELL,8,BEAR,REVERSAL_2W,FAVORABLE_WEEKS,18824,0.041231378414382056
SELL,8,BEAR,REVERSAL_2W,ADVERSE_WEEKS,18824,-0.03987904126478657
SELL,8,BEAR,REVERSAL_2W,PATH_EFFICIENCY,18824,0.000802820958372006
SELL,8,BEAR,REVERSAL_2W,HAS_FAVORABLE_MOVE,18824,0.025699895989528224
SELL,8,BEAR,REVERSAL_3W,MFE_PCT,18824,0.015345967888325814
SELL,8,BEAR,REVERSAL_3W,MAE_PCT,18824,-0.08312798295466665
SELL,8,BEAR,REVERSAL_3W,SPEED_PCT_PER_WEEK,18824,0.006478422342743142
SELL,8,BEAR,REVERSAL_3W,FINAL_DIRECTIONAL_RETURN_PCT,18824,0.06948787958475508
SELL,8,BEAR,REVERSAL_3W,FAVORABLE_WEEKS,18824,0.03418822310154467
SELL,8,BEAR,REVERSAL_3W,ADVERSE_WEEKS,18824,-0.03275410251040299
SELL,8,BEAR,REVERSAL_3W,PATH_EFFICIENCY,18824,0.0005137117904976914
SELL,8,BEAR,REVERSAL_3W,HAS_FAVORABLE_MOVE,18824,0.02138108165891562
SELL,8,BULL,STRENGTH_EXPECTED,MFE_PCT,22566,0.033342917444448096
SELL,8,BULL,STRENGTH_EXPECTED,MAE_PCT,22566,-0.03810905444095099
SELL,8,BULL,STRENGTH_EXPECTED,SPEED_PCT_PER_WEEK,22566,0.02443610962421763
SELL,8,BULL,STRENGTH_EXPECTED,FINAL_DIRECTIONAL_RETURN_PCT,22566,0.03310473743208565
SELL,8,BULL,STRENGTH_EXPECTED,FAVORABLE_WEEKS,22566,0.02710256217678262
SELL,8,BULL,STRENGTH_EXPECTED,ADVERSE_WEEKS,22566,-0.026487325946808367
SELL,8,BULL,STRENGTH_EXPECTED,PATH_EFFICIENCY,22566,-0.021121160219693562
SELL,8,BULL,STRENGTH_EXPECTED,HAS_FAVORABLE_MOVE,22566,0.036035523025685044
SELL,8,BULL,REVERSAL_1W,MFE_PCT,22566,0.015211756414502077
SELL,8,BULL,REVERSAL_1W,MAE_PCT,22566,-0.004338537593570573
SELL,8,BULL,REVERSAL_1W,SPEED_PCT_PER_WEEK,22566,0.02262388308669361
SELL,8,BULL,REVERSAL_1W,FINAL_DIRECTIONAL_RETURN_PCT,22566,0.004006060085389207
SELL,8,BULL,REVERSAL_1W,FAVORABLE_WEEKS,22566,0.008137927276292456
SELL,8,BULL,REVERSAL_1W,ADVERSE_WEEKS,22566,-0.00699178413277316
SELL,8,BULL,REVERSAL_1W,PATH_EFFICIENCY,22566,-0.01354746614673175
SELL,8,BULL,REVERSAL_1W,HAS_FAVORABLE_MOVE,22566,0.011786982110705658
SELL,8,BULL,REVERSAL_2W,MFE_PCT,22566,0.0008826604444901806
SELL,8,BULL,REVERSAL_2W,MAE_PCT,22566,-0.007601682681018022
SELL,8,BULL,REVERSAL_2W,SPEED_PCT_PER_WEEK,22566,0.006632255632088117
SELL,8,BULL,REVERSAL_2W,FINAL_DIRECTIONAL_RETURN_PCT,22566,0.0011484384067564067
SELL,8,BULL,REVERSAL_2W,FAVORABLE_WEEKS,22566,0.003974922035287948
SELL,8,BULL,REVERSAL_2W,ADVERSE_WEEKS,22566,-0.0032248408116346125
SELL,8,BULL,REVERSAL_2W,PATH_EFFICIENCY,22566,-0.022435812445955588
SELL,8,BULL,REVERSAL_2W,HAS_FAVORABLE_MOVE,22566,0.007576199405262449
SELL,8,BULL,REVERSAL_3W,MFE_PCT,22566,-0.0043667536281007825
SELL,8,BULL,REVERSAL_3W,MAE_PCT,22566,-0.010352362171132124
SELL,8,BULL,REVERSAL_3W,SPEED_PCT_PER_WEEK,22566,0.0005115797433140511
SELL,8,BULL,REVERSAL_3W,FINAL_DIRECTIONAL_RETURN_PCT,22566,0.0016045660445270086
SELL,8,BULL,REVERSAL_3W,FAVORABLE_WEEKS,22566,0.0029034676949002266
SELL,8,BULL,REVERSAL_3W,ADVERSE_WEEKS,22566,-0.0022666179865142417
SELL,8,BULL,REVERSAL_3W,PATH_EFFICIENCY,22566,-0.028328434159255733
SELL,8,BULL,REVERSAL_3W,HAS_FAVORABLE_MOVE,22566,0.008748874082833263
