SIDE,HORIZON_W,TARGET_METRIC,TARGET_VARIANT,FEATURE_SET,FOLDS,N_TEST_TOTAL,MEAN_FOLD_SPEARMAN,MIN_FOLD_SPEARMAN,MAX_FOLD_SPEARMAN,POSITIVE_FOLDS,MEAN_MAE,MEAN_BASELINE_MAE,MEAN_MAE_IMPROVEMENT_PCT
BUY,5,SPEED,COMPLETE,ALL,4,31803,0.1731655287588285,0.1407821074929917,0.2374477917254193,4,1.6022879779338837,1.598256920405107,-0.5039478392412037
BUY,5,SPEED,COMPLETE,TECH_PHASE,4,31803,0.17270054412484734,0.1395262415327432,0.2353499527901625,4,1.6022017002105713,1.598256920405107,-0.49159958266495596
BUY,5,SPEED,COMPLETE,TECH_PHASE_REVERSAL,4,31803,0.17151631062095274,0.1371280750980528,0.234440506091807,4,1.6027334928512573,1.598256920405107,-0.5138390245962337
BUY,5,SPEED,COMPLETE,TECH_PHASE_STRENGTH,4,31803,0.17214479656466142,0.1384457189721996,0.2351300837456098,4,1.6012657284736633,1.598256920405107,-0.43669777713822666
BUY,5,SPEED,CONDITIONAL,ALL,4,25536,0.28815263992367984,0.2267246943920892,0.3590433520052911,4,1.5361894965171814,1.592273013521555,3.1091021164163974
BUY,5,SPEED,CONDITIONAL,TECH_PHASE,4,25536,0.28635255632792267,0.2246802583403271,0.3570063530283763,4,1.535863220691681,1.592273013521555,3.1341232330545044
BUY,5,SPEED,CONDITIONAL,TECH_PHASE_REVERSAL,4,25536,0.2857778905838271,0.2253703612240034,0.3554648944351716,4,1.5364408195018768,1.592273013521555,3.1028688507187976
BUY,5,SPEED,CONDITIONAL,TECH_PHASE_STRENGTH,4,25536,0.2876313488736495,0.2238184586790636,0.353167787839755,4,1.5350663661956787,1.592273013521555,3.177885813045699
BUY,8,SPEED,COMPLETE,ALL,4,31803,0.20767605198756064,0.1700229093753551,0.2596557683514495,4,1.4065382480621338,1.4219820609256282,0.820012939285826
BUY,8,SPEED,COMPLETE,TECH_PHASE,4,31803,0.20590435752179637,0.1717662406724534,0.260701741860097,4,1.4064882695674896,1.4219820609256282,0.8261255249785171
BUY,8,SPEED,COMPLETE,TECH_PHASE_REVERSAL,4,31803,0.2066652234458119,0.1683249751379892,0.2614825748088685,4,1.4072826206684113,1.4219820609256282,0.7702451191329929
